127.0.0.1 - - [13/Apr/2025:12:46:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:10:10 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:10:33 +0530] "GET /07-2025_JSP_Tags/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:10:38 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:10:52 +0530] "GET /07-2025_JSP_Tags/test.jsp HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:21:18 +0530] "GET /07-2025_JSP_Tags/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:21:35 +0530] "GET /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:21:56 +0530] "GET /07-2025_JSP_Tags/demo.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:22:12 +0530] "GET /07-2025_JSP_Tags/demo.html?uname=pratik&uemail=raskar4%40gmail.com HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:22:24 +0530] "GET /07-2025_JSP_Tags/demo.html?uname=&uemail= HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:23:04 +0530] "GET /07-2025_JSP_Tags/demo.html?uname=&uemail= HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:23:16 +0530] "GET /07-2025_JSP_Tags/read.jsp?uname=pratik&uemail=raskarpr%40gmail.com HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:23:25 +0530] "GET /07-2025_JSP_Tags/read.jsp?uname=pratik&uemail=raskarpr%40gmail.com HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:23:26 +0530] "GET /07-2025_JSP_Tags/read.jsp?uname=pratik&uemail=raskarpr%40gmail.com HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:23:26 +0530] "GET /07-2025_JSP_Tags/read.jsp?uname=pratik&uemail=raskarpr%40gmail.com HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:23:26 +0530] "GET /07-2025_JSP_Tags/read.jsp?uname=pratik&uemail=raskarpr%40gmail.com HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:23:26 +0530] "GET /07-2025_JSP_Tags/read.jsp?uname=pratik&uemail=raskarpr%40gmail.com HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:24:00 +0530] "GET /07-2025_JSP_Tags/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:24:05 +0530] "GET /07-2025_JSP_Tags/demo.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:24:12 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:24:18 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:24:35 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:25:14 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:30:54 +0530] "GET /07-2025_JSP_Tags/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:31:00 +0530] "GET /07-2025_JSP_Tags/demo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:31:11 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:33:39 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:33:45 +0530] "GET /07-2025_JSP_Tags/demo.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:33:57 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:34:09 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:34:15 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:34:19 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:34:24 +0530] "POST /07-2025_JSP_Tags/read.jsp HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:42:51 +0530] "GET /07-2025_JSP_Tags/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:01 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:18 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:20 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:20 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:20 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:20 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:21 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:21 +0530] "GET /07-2025_JSP_Tags/pageA.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:29 +0530] "GET /07-2025_JSP_Tags/PageA.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:41 +0530] "GET /07-2025_JSP_Tags/PageA.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:43:52 +0530] "GET /07-2025_JSP_Tags/PageA.jsp HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Apr/2025:13:44:01 +0530] "GET /07-2025_JSP_Tags/PageB.jsp HTTP/1.1" 200 318
